pan,tilt,roll,corner,x,y
0,90,0,lt,540,202
0,90,0,rt,1335,204
0,90,0,lb,536,995
0,90,0,rb,1333,1000
0,90,10,lt,615,138
0,90,10,rt,1396,278
0,90,10,lb,473,918
0,90,10,rb,1257,1061
0,90,20,lt,700,88
0,90,20,rt,1444,359
0,90,20,lb,426,833
0,90,20,rb,1173,1106
0,90,30,lt,792,53
0,90,30,rt,1478,453
0,90,30,lb,394,742
0,90,30,rb,1078,1139
0,90,40,lt,888,36
0,90,40,rt,1494,548
0,90,40,lb,375,643
0,90,40,rb,982,1157
60,90,0,lt,749,215
60,90,0,rt,1156,185
60,90,0,lb,746,976
60,90,0,rb,1153,1018
20,90,0,lt,573,206
20,90,0,rt,1321,196
20,90,0,lb,570,986
20,90,0,rb,1319,1006
-20,90,0,lt,557,194
-20,90,0,rt,1300,211
-20,90,0,lb,555,1004
-20,90,0,rb,1299,988
-60,90,0,lt,727,182
-60,90,0,rt,1120,218
-60,90,0,lb,729,1015
-60,90,0,rb,1120,978
0,20,0,lt,554,470
0,20,0,rt,1310,470
0,20,0,lb,520,747
0,20,0,rb,1359,745
0,40,0,lt,552,353
0,40,0,rt,1315,354
0,40,0,lb,523,868
0,40,0,rb,1352,868
0,60,0,lt,546,261
0,60,0,rt,1322,265
0,60,0,lb,530,954
0,60,0,rb,1344,954
-45,45,0,lt,449,319
-45,45,0,rt,1007,335
-45,45,0,lb,851,905
-45,45,0,rb,1408,879
-45,45,45,lt,659,218
-45,45,45,rt,1306,598
-45,45,45,lb,516,605
-45,45,45,rb,1229,1014
45,45,0,lt,860,334
45,45,0,rt,1425,318
45,45,0,lb,466,875
45,45,0,rb,1031,905
45,45,45,lt,1210,218
45,45,45,rt,1364,602
45,45,45,lb,560,594
45,45,45,rb,650,1014
